Steel type,Tempering time (s),Tempering temperature (ºC),C (%wt),Mn (%wt),P (%wt),S (%wt),Si (%wt),Ni (%wt),Cr (%wt),Mo (%wt),V (%wt),Al (%wt),Cu (%wt),Final hardness (HRC) - post tempering,hardness_group,temp_group,time_group
AISI-SAE 1026,600.0,204.4,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,50.6,50-55 HRC,200-250 C,600.0 s
AISI-SAE 1026,600.0,260.0,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,48.3,45-50 HRC,250-300 C,600.0 s
AISI-SAE 1026,600.0,315.6,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,43.7,40-45 HRC,300-350 C,600.0 s
AISI-SAE 1026,600.0,371.1,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,40.5,40-45 HRC,350-400 C,600.0 s
AISI-SAE 1026,600.0,426.7,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,37.3,35-40 HRC,400-450 C,600.0 s
AISI-SAE 1026,600.0,482.2,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,31.2,30-35 HRC,450-500 C,600.0 s
AISI-SAE 1026,600.0,537.8,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,26.2,25-30 HRC,500-550 C,600.0 s
AISI-SAE 1026,600.0,593.3,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,23.1,20-25 HRC,550-600 C,600.0 s
AISI-SAE 1026,600.0,648.9,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,17.3,15-20 HRC,600-650 C,600.0 s
AISI-SAE 1026,600.0,704.4,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,11.7,10-15 HRC,700-750 C,600.0 s
AISI-SAE 1026,3600.0,204.4,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,48.9,45-50 HRC,200-250 C,3600.0 s
AISI-SAE 1026,3600.0,260.0,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,45.9,45-50 HRC,250-300 C,3600.0 s
AISI-SAE 1026,3600.0,315.6,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,42.5,40-45 HRC,300-350 C,3600.0 s
AISI-SAE 1026,3600.0,371.1,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,39.2,35-40 HRC,350-400 C,3600.0 s
