Steel type,Tempering time (s),Tempering temperature (ºC),C (%wt),Mn (%wt),P (%wt),S (%wt),Si (%wt),Ni (%wt),Cr (%wt),Mo (%wt),V (%wt),Al (%wt),Cu (%wt),Final hardness (HRC) - post tempering
AISI-SAE 1026,600.0,204.4,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,50.6
AISI-SAE 1026,600.0,260.0,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,48.3
AISI-SAE 1026,600.0,315.6,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,43.7
AISI-SAE 1026,600.0,371.1,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,40.5
AISI-SAE 1026,600.0,426.7,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,37.3
AISI-SAE 1026,600.0,482.2,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,31.2
AISI-SAE 1026,600.0,537.8,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,26.2
AISI-SAE 1026,600.0,593.3,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,23.1
AISI-SAE 1026,600.0,648.9,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,17.3
AISI-SAE 1026,600.0,704.4,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,11.7
AISI-SAE 1026,3600.0,204.4,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,48.9
AISI-SAE 1026,3600.0,260.0,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,45.9
AISI-SAE 1026,3600.0,315.6,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,42.5
AISI-SAE 1026,3600.0,371.1,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,39.2
AISI-SAE 1026,3600.0,426.7,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,33.4
AISI-SAE 1026,3600.0,482.2,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,28.5
AISI-SAE 1026,3600.0,537.8,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,22.6
AISI-SAE 1026,3600.0,648.9,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,12.6
AISI-SAE 1026,3600.0,704.4,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,8.6
AISI-SAE 1026,14400.0,204.4,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,47.6
AISI-SAE 1026,14400.0,260.0,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,44.7
AISI-SAE 1026,14400.0,315.6,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,40.9
AISI-SAE 1026,14400.0,371.1,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,37.1
AISI-SAE 1026,14400.0,426.7,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,31.6
AISI-SAE 1026,14400.0,482.2,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,26.2
AISI-SAE 1026,14400.0,537.8,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,20.7
AISI-SAE 1026,14400.0,593.3,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,15.0
AISI-SAE 1026,14400.0,648.9,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,9.4
AISI-SAE 1026,14400.0,704.4,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,7.0
AISI-SAE 1026,86400.0,204.4,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,45.5
AISI-SAE 1026,86400.0,260.0,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,43.4
AISI-SAE 1026,86400.0,315.6,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,40.7
AISI-SAE 1026,86400.0,371.1,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,34.3
AISI-SAE 1026,86400.0,426.7,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,28.4
AISI-SAE 1026,86400.0,482.2,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,23.6
AISI-SAE 1026,86400.0,537.8,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,18.7
AISI-SAE 1026,86400.0,593.3,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,10.9
AISI-SAE 1026,86400.0,648.9,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,2.6
AISI-SAE 1026,86400.0,704.4,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,0.0,3.2
AISI-SAE 1030,600.0,204.4,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,52.1
AISI-SAE 1030,600.0,260.0,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,49.1
AISI-SAE 1030,600.0,315.6,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,44.3
AISI-SAE 1030,600.0,371.1,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,40.2
AISI-SAE 1030,600.0,426.7,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,37.5
AISI-SAE 1030,600.0,482.2,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,30.4
AISI-SAE 1030,600.0,537.8,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,25.8
AISI-SAE 1030,600.0,593.3,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,22.1
AISI-SAE 1030,600.0,648.9,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,15.5
AISI-SAE 1030,600.0,704.4,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,13.1
AISI-SAE 1030,3600.0,204.4,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,49.3
AISI-SAE 1030,3600.0,260.0,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,45.9
AISI-SAE 1030,3600.0,315.6,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,42.2
AISI-SAE 1030,3600.0,371.1,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,39.4
AISI-SAE 1030,3600.0,426.7,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,34.0
AISI-SAE 1030,3600.0,482.2,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,29.0
AISI-SAE 1030,3600.0,537.8,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,22.4
AISI-SAE 1030,3600.0,648.9,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,11.7
AISI-SAE 1030,3600.0,704.4,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,10.2
AISI-SAE 1030,14400.0,204.4,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,48.3
AISI-SAE 1030,14400.0,260.0,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,44.9
AISI-SAE 1030,14400.0,315.6,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,40.9
AISI-SAE 1030,14400.0,371.1,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,37.3
AISI-SAE 1030,14400.0,426.7,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,31.3
AISI-SAE 1030,14400.0,482.2,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,25.6
AISI-SAE 1030,14400.0,537.8,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,20.9
AISI-SAE 1030,14400.0,593.3,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,10.9
AISI-SAE 1030,14400.0,648.9,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,8.6
AISI-SAE 1030,14400.0,704.4,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,7.3
AISI-SAE 1030,86400.0,204.4,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,46.8
AISI-SAE 1030,86400.0,260.0,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,43.9
AISI-SAE 1030,86400.0,315.6,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,40.9
AISI-SAE 1030,86400.0,371.1,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,35.4
AISI-SAE 1030,86400.0,426.7,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,27.8
AISI-SAE 1030,86400.0,482.2,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,23.3
AISI-SAE 1030,86400.0,537.8,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,16.1
AISI-SAE 1030,86400.0,593.3,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,6.5
AISI-SAE 1030,86400.0,648.9,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,0.9
AISI-SAE 1030,86400.0,704.4,0.31,0.57,0.008,0.025,0.09,0.02,0.02,0.0,0.0,0.0,0.0,2.3
AISI-SAE 1035,600.0,204.4,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,52.3
AISI-SAE 1035,600.0,260.0,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,50.4
AISI-SAE 1035,600.0,315.6,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,46.8
AISI-SAE 1035,600.0,371.1,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,44.3
AISI-SAE 1035,600.0,426.7,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,38.6
AISI-SAE 1035,600.0,482.2,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,33.4
AISI-SAE 1035,600.0,537.8,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,28.4
AISI-SAE 1035,600.0,593.3,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,25.5
AISI-SAE 1035,600.0,648.9,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,20.9
AISI-SAE 1035,600.0,704.4,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,15.0
AISI-SAE 1035,3600.0,204.4,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,51.5
AISI-SAE 1035,3600.0,260.0,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,48.9
AISI-SAE 1035,3600.0,315.6,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,46.4
AISI-SAE 1035,3600.0,371.1,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,41.7
AISI-SAE 1035,3600.0,426.7,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,36.1
AISI-SAE 1035,3600.0,482.2,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,30.7
AISI-SAE 1035,3600.0,537.8,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,26.1
AISI-SAE 1035,3600.0,593.3,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,21.2
AISI-SAE 1035,3600.0,648.9,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,16.5
AISI-SAE 1035,3600.0,704.4,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,12.4
AISI-SAE 1035,14400.0,204.4,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,50.0
AISI-SAE 1035,14400.0,260.0,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,48.3
AISI-SAE 1035,14400.0,315.6,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,44.9
AISI-SAE 1035,14400.0,371.1,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,39.2
AISI-SAE 1035,14400.0,426.7,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,33.9
AISI-SAE 1035,14400.0,482.2,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,28.8
AISI-SAE 1035,14400.0,537.8,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,23.9
AISI-SAE 1035,14400.0,593.3,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,18.9
AISI-SAE 1035,14400.0,648.9,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,13.1
AISI-SAE 1035,14400.0,704.4,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,8.6
AISI-SAE 1035,86400.0,204.4,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,49.1
AISI-SAE 1035,86400.0,260.0,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,47.0
AISI-SAE 1035,86400.0,315.6,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,43.7
AISI-SAE 1035,86400.0,371.1,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,36.9
AISI-SAE 1035,86400.0,426.7,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,31.2
AISI-SAE 1035,86400.0,482.2,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,24.9
AISI-SAE 1035,86400.0,537.8,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,20.7
AISI-SAE 1035,86400.0,593.3,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,14.8
AISI-SAE 1035,86400.0,648.9,0.36,0.74,0.019,0.03,0.24,0.02,0.02,0.01,0.0,0.0,0.0,9.2
